"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"askpass","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.1",NA,NA,NA,NA
"cli","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","3.6.1",NA,NA,NA,NA
"colorspace","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","2.1-0",NA,NA,NA,NA
"cpp11","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.4.3",NA,NA,NA,NA
"crayon","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.5.2",NA,NA,NA,NA
"curl","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","5.0.1",NA,NA,NA,NA
"data.table","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.14.8",NA,NA,NA,NA
"deldir","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.0-9",NA,NA,NA,NA
"digest","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.6.31",NA,NA,NA,NA
"dismo","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.3-14",NA,NA,NA,NA
"fansi","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.0.4",NA,NA,NA,NA
"farver","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","2.1.1",NA,NA,NA,NA
"filelock","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.0.2",NA,NA,NA,NA
"fpCompare","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.2.4",NA,NA,NA,NA
"ggplot2","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","3.4.2",NA,NA,NA,NA
"glue","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.6.2",NA,NA,NA,NA
"gtable","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.3.3",NA,NA,NA,NA
"hexbin","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.28.3",NA,NA,NA,NA
"httr","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.4.6",NA,NA,NA,NA
"interp","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.1-4",NA,NA,NA,NA
"isoband","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.2.7",NA,NA,NA,NA
"jpeg","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.1-10",NA,NA,NA,NA
"jsonlite","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.8.5",NA,NA,NA,NA
"labeling","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.4.2",NA,NA,NA,NA
"latticeExtra","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.6-30",NA,NA,NA,NA
"lifecycle","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.0.3",NA,NA,NA,NA
"lobstr","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","1.1.2",NA,NA,NA,NA
"magrittr","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","2.0.3",NA,NA,NA,NA
"maps","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","3.4.1",NA,NA,NA,NA
"mime","D:/GitHub/reproducible-workflows-example/packages/x86_64-w64-mingw32/4.3","0.12",NA,NA,NA,NA
